MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,3;0,4;1320;1360;310;70;18;1,5;2,5;3,5;5;0
0,3;0,4;1360;1400;305;75;18;1,5;2,5;3,5;5;1
0,3;0,4;1400;1440;300;80;20;1,5;2,5;3,5;5;0,5
0,5;0,6;1320;1360;300;80;20;1,5;2,5;3,5;5;0
0,5;0,6;1360;1400;295;85;20;1,5;2,5;3,5;5;1
0,5;0,6;1400;1440;295;85;20;1,5;2,5;3,5;5;2
0,7;1;1320;1360;285;95;20;1,5;2,5;3,5;5;1
0,7;1;1360;1400;280;100;20;1,5;2,5;3,5;5;1
0,7;1;1400;1460;280;100;22;1,5;2,5;3,5;5;2
