MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,3;0,4;1320;1360;315;90;14;1,5;2,5;3,5;5;0
0,3;0,4;1360;1400;305;105;15;1,5;2,5;3,5;5;0
0,3;0,4;1400;1440;300;110;15;1,5;2,5;3,5;5;0,5
0,5;0,6;1320;1360;305;105;16;1,5;2,5;3,5;5;0
0,5;0,6;1360;1400;295;115;16;1,5;2,5;3,5;5;1,5
0,5;0,6;1400;1440;295;115;16;1,5;2,5;3,5;5;2
0,7;1;1320;1360;295;115;16;1,5;2,5;3,5;5;1
0,7;1;1360;1400;290;120;16;1,5;2,5;3,5;5;0
0,7;1;1400;1440;290;120;16;1,5;2,5;3,5;5;0
