MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,15;0,29;1290;1320;310;70;18;1,5;2,5;3,5;5;0
0,15;0,29;1320;1340;305;75;18;1,5;2,5;3,5;5;0
0,15;0,29;1340;1360;300;80;18;1,5;2,5;3,5;5;0
0,15;0,29;1360;1380;295;85;18;1,5;2,5;3,5;5;0
0,15;0,29;1380;1400;292;88;18;1,5;2,5;3,5;5;0
0,15;0,29;1400;1420;290;90;18;1,5;2,5;3,5;5;0
0,15;0,29;1420;1440;288;92;18;1,5;2,5;3,5;5;0
0,15;0,29;1440;1460;285;95;18;1,5;2,5;3,5;5;0
0,3;0,39;1290;1320;305;75;19;1,5;2,5;3,5;5;0
0,3;0,39;1320;1340;300;80;19;1,5;2,5;3,5;5;0
0,3;0,39;1340;1360;295;85;19;1,5;2,5;3,5;5;0
0,3;0,39;1360;1380;290;90;19;1,5;2,5;3,5;5;0
0,3;0,39;1380;1400;288;92;19;1,5;2,5;3,5;5;0
0,3;0,39;1400;1420;285;95;19;1,5;2,5;3,5;5;0
0,3;0,39;1420;1440;283;97;19;1,5;2,5;3,5;5;0
0,3;0,39;1440;1460;280;100;19;1,5;2,5;3,5;5;0
0,4;0,49;1290;1320;300;80;20;1,5;2,5;3,5;5;0
0,4;0,49;1320;1340;295;85;20;1,5;2,5;3,5;5;0
0,4;0,49;1340;1360;290;90;20;1,5;2,5;3,5;5;0
0,4;0,49;1360;1380;288;92;20;1,5;2,5;3,5;5;0
0,4;0,49;1380;1400;285;95;20;1,5;2,5;3,5;5;0
0,4;0,49;1400;1420;283;97;20;1,5;2,5;3,5;5;0
0,4;0,49;1420;1440;280;100;20;1,5;2,5;3,5;5;0
0,4;0,49;1440;1460;278;103;20;1,5;2,5;3,5;5;0
0,5;0,59;1290;1320;295;85;21;1,5;2,5;3,5;5;0
0,5;0,59;1320;1340;290;90;21;1,5;2,5;3,5;5;0
0,5;0,59;1340;1360;285;95;21;1,5;2,5;3,5;5;0
0,5;0,59;1360;1380;283;97;21;1,5;2,5;3,5;5;0
0,5;0,59;1380;1400;280;100;21;1,5;2,5;3,5;5;0
0,5;0,59;1400;1420;278;103;21;1,5;2,5;3,5;5;0
0,5;0,59;1420;1440;275;105;21;1,5;2,5;3,5;5;0
0,5;0,59;1440;1460;273;107;21;1,5;2,5;3,5;5;0
0,6;0,69;1290;1320;293;87;22;1,5;2,5;3,5;5;0
0,6;0,69;1320;1340;288;92;22;1,5;2,5;3,5;5;0
0,6;0,69;1340;1360;283;97;22;1,5;2,5;3,5;5;0
0,6;0,69;1360;1380;280;100;22;1,5;2,5;3,5;5;0
0,6;0,69;1380;1400;278;102;22;1,5;2,5;3,5;5;0
0,6;0,69;1400;1420;275;105;22;1,5;2,5;3,5;5;0
0,6;0,69;1420;1440;275;107;22;1,5;2,5;3,5;5;0
0,6;0,69;1440;1460;275;110;22;1,5;2,5;3,5;5;0
0,7;0,79;1290;1320;290;90;23;1,5;2,5;3,5;5;0
0,7;0,79;1320;1340;287;93;23;1,5;2,5;3,5;5;0
0,7;0,79;1340;1360;285;96;23;1,5;2,5;3,5;5;0
0,7;0,79;1360;1380;282;99;23;1,5;2,5;3,5;5;0
0,7;0,79;1380;1400;280;102;23;1,5;2,5;3,5;5;0
0,7;0,79;1400;1420;278;105;23;1,5;2,5;3,5;5;0
0,7;0,79;1420;1440;275;107;23;1,5;2,5;3,5;5;0
0,7;0,79;1440;1460;275;110;23;1,5;2,5;3,5;5;0
0,8;0,89;1290;1320;287;93;24;1,5;2,5;3,5;5;0
0,8;0,89;1320;1340;284;96;24;1,5;2,5;3,5;5;0
0,8;0,89;1340;1360;281;99;24;1,5;2,5;3,5;5;0
0,8;0,89;1360;1380;278;102;24;1,5;2,5;3,5;5;0
0,8;0,89;1380;1400;275;105;24;1,5;2,5;3,5;5;0
0,8;0,89;1400;1420;275;107;24;1,5;2,5;3,5;5;0
