Time;Heigth lance;Rate O2;H2;O2;CO;CO2;N2;Ar;V gas;T gas;C calculated;C sublance;Ignition;DecompressionOffGasEvent
01.09.2012 00:05:06;710;106,286752319336;0,04;15,76;0,85;4,08;78,32;0,95;392455,446875;44,5;3,08005704261659;0;0;-1820
01.09.2012 00:05:08;693;261,584323120117;0,04;15,76;0,85;4,08;78,32;0,95;392391,503125;44,7;3,08003748422014;0;0;-1818
01.09.2012 00:05:09;680;420,995974731445;0,04;15,76;0,85;4,08;78,32;0,95;393320,76875;44,9;3,08000128589047;0;0;-1816
01.09.2012 00:05:10;673;581,396139526367;0,04;15,76;0,85;4,08;78,32;0,95;393964,9625;45;3,07994887511276;0;0;-1812
01.09.2012 00:05:11;670;741,384378051758;0,032;14,83;0,692;3,272;80,306;0,87;394447,38125;45;3,07988101646622;0;0;-1810
01.09.2012 00:05:12;670;793,796148681641;0,024;12,476;0,534;2,462;83,784;0,724;394832,628125;45;3,07982233406746;0;0;-1809
01.09.2012 00:05:13;670;797,322814941406;0,02;9,702;0,382;1,648;87,696;0,556;395046,64375;45;3,07973472067204;0;0;-1808
01.09.2012 00:05:14;670;799,514471435547;0,016;6,812;0,222;0,832;91,742;0,38;394725,040625;45;3,07967484096703;0;0;-1807
01.09.2012 00:05:15;670;819,77373046875;0,014;3,868;0,058;0,016;95,846;0,202;394351,3375;45;3,07962760261323;0;0;-1806
01.09.2012 00:05:16;668;865,641979980469;0,022;1,824;0,05;0,008;97,994;0,102;394123,51875;45;3,07959902510518;0;0;-1805
01.09.2012 00:05:17;663;938,232958984375;0,036;1,188;0,046;0,002;98,66;0,068;393700,28125;45;3,07957333683519;0;0;-1807
01.09.2012 00:05:18;658;1000,59193929036;0,038;0,962;0,032;0;98,912;0,056;393351,190972222;45;3,07956178479268;0;0;-1809
01.09.2012 00:05:19;642;1104,54331665039;0,038;0,84;0,034;0;99,036;0,05;392493,00625;45;3,07955434635302;0;0;-1813
01.09.2012 00:05:20;630;1159,82102457682;0,04;0,766;0,036;0;99,11;0,046;392448,222222222;45;3,07955018931748;0;0;-1813
01.09.2012 00:05:21;607;1193,22781982422;0,04;0,714;0,038;0;99,164;0,044;392776,440625;45;3,07954648033129;0;0;-1813
01.09.2012 00:05:22;593;1202,81401909722;0,032;0,672;0,036;0;99,216;0,042;393219,260416667;45;3,07954297790649;0;0;-1813
01.09.2012 00:05:23;575;1207,92797851563;0,034;0,638;0,044;0;99,242;0,04;393677,350694444;45;3,07954046031981;0;0;-1808
01.09.2012 00:05:24;557;1222,85232204861;0,036;0,612;0,032;0;99,278;0,04;394646,524305556;45;3,07953607674336;0;0;-1808
