2302020;124;3,682;1296,36;0,032;0,039724;True
2302021;61;4,762;650,66;0,046;0,052904;True
2302022;48;6,64;602,06;0,05;0,060243;True
2302023;100;1,835;633,96;0,037;0,03695;True
2302024;89;2,105;590,36;0,037;0,039801;True
2302025;83;5,799;877,26;0,039;0,051896;True
2302027;51;5,216;525,89;0,05;0,055603;True
2302028;68;4,179;692,39;0,043;0,050115;True
2302029;54;6,198;635,45;0,039;0,057988;True
2302031;150;4,86;1729,29;0,037;0,039231;True
2302032;62;5,29;680,14;0,047;0,054173;True
2302037;38;5,83;390,5;0,06;0,059304;True
2302038;45;9,28;589,34;0,056;0,067531;True
2302039;51;5,83;533,69;0,058;0,0572;True
2302041;56;3,67;561,25;0,045;0,050771;True
2302042;50;5,29;559,89;0,046;0,056175;True
2302043;75;5,02;824,01;0,062;0,051387;True
2302044;52;5,29;608,43;0,046;0,055983;True
2302045;101;3,553;1164,4;0,049;0,043722;True
2302046;78;6,965;891,72;0,045;0,05601;True
2301990;105;1,565;822,5;0,033;0,036116;True
2301991;41;6,8;542,39;0,055;0,061869;True
2301992;58;6,1;719,74;0,064;0,057291;True
2301993;53;6,37;637,46;0,083;0,058651;True
2301994;60;6,37;762,24;0,064;0,057754;True
2301996;81;2,602;645,87;0,046;0,043069;True
2301997;60;3,51;492,74;0,043;0,04916;True
2301998;41;5,885;457,43;0,062;0,059126;True
2302000;68;5,29;799,46;0,075;0,053466;True
2302001;38;5,83;405,59;0,072;0,059379;True
2302002;38;9,33;536,81;0,075;0,068912;True
2302003;65;3,455;533,73;0,055;0,048141;True
2302004;41;9,39;520,82;0,085;0,068336;True
2302005;62;3,952;539,4;0,057;0,05008;True
2302006;73;3,455;749,94;0,044;0,047481;True
2302008;84;5,345;920,81;0,07;0,050743;True
2302009;74;4,535;921,13;0,056;0,050853;True
2302010;73;3,455;583,78;0,052;0,046658;True
2302011;50;5,83;505,43;0,044;0,057276;True
2302012;41;7,61;499,31;0,062;0,063712;True
2302013;52;3,412;485,45;0,057;0,050607;True
2302014;69;4,762;780,35;0,049;0,051814;True
2302015;84;3,952;890,17;0,043;0,047056;True
2302016;44;5,505;428,7;0,051;0,05737;True
2302017;95;2,59;720,82;0,051;0,040379;True
