3301413;26;702;5;28;0,079;0;True
3301416;151;3205;0;5;0,042;0;True
3301417;104;2037;0;5;0,044;0;True
3301419;47;1227;2;20;0,06;0;True
3301420;107;2254;0;8;0,053;0;True
3301421;49;1293;1;21;0,073;0;True
3301422;35;950;3;27;0,066;0;True
3301423;59;1465;2;19;0,093;0;True
3301425;44;1092;3;18;0,056;0;True
3301426;101;1914;0;6;0,037;0;True
3301427;56;1239;0,6;11;0,054;0;True
3301428;52;1298;2;21;0,059;0;True
3301429;45;1014;3;18;0,069;0;True
3301430;33;757;4;20;0,068;0;True
3301431;102;2476;2;16;0,089;0;True
3301433;90;1746;0,3;9;0,049;0;True
3301434;84;2121;4;18;0,091;0;True
3301435;43;1022;1;19;0,069;0;True
3301436;84;1568;1;8;0,06;0;True
3301443;84;1946;2;16;0,057;0;True
3301446;50;1219;2;20;0,062;0;True
3301448;61;1416;1;18;0,06;0;True
3301456;53;1090;2;13;0,064;0;True
3301459;53;1340;3;20;0,058;0;True
3301462;29;732;5;24;0,065;0;True
3301465;85;1830;3;13;0,058;0;True
3301466;44;1021;2;18;0,058;0;True
3301467;45;1169;4;26;0,069;0;True
3301468;68;1651;3;17;0,068;0;True
