1301726;32;7,01;356,96;0,07;0,064781;True
1301729;58;7,12;648,56;0,051;0,057845;True
1301730;103;4,48;978,23;0,056;0,049092;True
1301734;30;8,09;338,84;0,066;0,06909;True
1301740;70;5,72;698,56;0,042;0,055901;True
1301741;39;6,58;400,89;0,062;0,063932;True
1301742;33;6,15;336,98;0,072;0,063731;True
1301743;44;4,37;375,32;0,055;0,060667;True
1301747;75;4,48;698,1;0,067;0,054304;True
1301749;68;4,64;591,27;0,062;0,059149;True
1301754;53;3,775;372,39;0,055;0,064157;True
1301755;72;10,19;905,35;0,046;0,057546;True
1301756;31;10,67;386,22;0,079;0,075687;True
1301757;84;6,96;973,06;0,054;0,047263;True
1301759;21;9,81;259,77;0,074;0,0764;True
1301764;23;9,11;280,83;0,089;0,073295;True
1301770;43;6,58;391,87;0,065;0,0671;True
1301771;74;3,29;712,09;0,048;0,048072;True
1301773;31;6,47;309,36;0,058;0,065922;True
1301774;51;6,58;549,99;0,061;0,059381;True
1301776;65;5,61;619,98;0,06;0,058694;True
