3301413;26;295;5;28;0,079;0;True
3301416;151;657;0;5;0,042;0;True
3301417;104;428;0;5;0,044;0;True
3301419;47;408;2;20;0,06;0;True
3301420;107;630;0;8;0,053;0;True
3301421;49;417;1;21;0,073;0;True
3301422;35;387;3;27;0,066;0;True
3301423;59;606;2;19;0,093;0;True
3301425;44;325;3;18;0,056;0;True
3301426;84;492;0;6;0,037;0;True
3301427;56;289;0,6;11;0,054;0;True
3301428;38;372;2;21;0,059;0;True
3301429;45;523;3;18;0,069;0;True
3301430;33;414;4;20;0,068;0;True
3301431;88;904;2;16;0,089;0;True
3301433;90;572;0,3;9;0,049;0;True
3301434;84;872;2;18;0,091;0;True
3301435;43;437;1;19;0,069;0;True
3301436;84;564;1;8;0,06;0;True
