MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,3;0,4;1320;1360;320;90;12;1,5;2,5;3,5;5;0
0,3;0,4;1360;1400;310;100;14;1,5;2,5;3,5;5;0
0,3;0,4;1400;1440;305;105;14;1,5;2,5;3,5;5;0
0,5;0,6;1320;1360;310;100;14;1,5;2,5;3,5;5;0
0,5;0,6;1360;1400;300;110;14;1,5;2,5;3,5;5;1
0,5;0,6;1400;1440;295;115;14;1,5;2,5;3,5;5;0
0,7;1;1320;1360;310;100;14;1,5;2,5;3,5;5;0
0,7;1;1360;1400;300;110;15;1,5;2,5;3,5;5;2
0,7;1;1400;1440;290;120;15;1,5;2,5;3,5;5;0
