MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,7;0,79;1400;1420;295;115;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1420;1440;290;120;15,5;1,5;2,5;3,5;5;0
0,7;0,79;1440;1460;285;123;15,5;1,5;2,5;3,5;5;0
0,8;0,89;1290;1320;305;105;16;1,5;2,5;3,5;5;0
0,8;0,89;1320;1340;300;110;16;1,5;2,5;3,5;5;0
0,8;0,89;1340;1360;295;115;16;1,5;2,5;3,5;5;0
0,8;0,89;1360;1380;293;117;16;1,5;2,5;3,5;5;0
0,8;0,89;1380;1400;290;120;16;1,5;2,5;3,5;5;0
0,8;0,89;1400;1420;287;123;16;1,5;2,5;3,5;5;0
0,8;0,89;1420;1440;285;125;16;1,5;2,5;3,5;5;0
0,8;0,89;1440;1460;283;127;16;1,5;2,5;3,5;5;0
0,9;0,99;1290;1320;300;110;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1320;1340;297;113;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1340;1360;295;115;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1360;1380;293;117;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1380;1400;290;120;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1400;1420;287;123;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1420;1440;285;125;16,5;1,5;2,5;3,5;5;0
0,9;0,99;1440;1460;280;130;16,5;1,5;2,5;3,5;5;0
1;1,1;1290;1320;297;113;17;1,5;2,5;3,5;5;0
1;1,1;1320;1340;295;115;17;1,5;2,5;3,5;5;0
1;1,1;1340;1360;290;120;17;1,5;2,5;3,5;5;0
1;1,1;1360;1380;285;125;17;1,5;2,5;3,5;5;0
1;1,1;1380;1400;283;127;17;1,5;2,5;3,5;5;0
1;1,1;1400;1420;280;130;17;1,5;2,5;3,5;5;0
1;1,1;1420;1440;278;132;17;1,5;2,5;3,5;5;0
1;1,1;1440;1460;278;132;17;1,5;2,5;3,5;5;0
1,11;1,25;1290;1320;295;115;18;1,5;2,5;3,5;5;0
1,11;1,25;1320;1340;290;120;18;1,5;2,5;3,5;5;0
1,11;1,25;1340;1360;287;123;18;1,5;2,5;3,5;5;0
1,11;1,25;1360;1380;285;125;18;1,5;2,5;3,5;5;0
1,11;1,25;1380;1400;283;127;18;1,5;2,5;3,5;5;0
1,11;1,25;1400;1420;280;130;18;1,5;2,5;3,5;5;0
1,11;1,25;1420;1440;278;132;18;1,5;2,5;3,5;5;0
1,11;1,25;1440;1460;278;132;18;1,5;2,5;3,5;5;0
