MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,3;0,4;1320;1360;320;60;20;1,5;2,5;3,5;5;0
0,3;0,4;1360;1400;315;65;20;1,5;2,5;3,5;5;0
0,3;0,4;1400;1440;310;70;20;1,5;2,5;3,5;5;0
0,5;0,6;1320;1360;305;75;20;1,5;2,5;3,5;5;1
0,5;0,6;1360;1400;300;80;22;1,5;2,5;3,5;5;0
0,5;0,6;1400;1440;300;80;22;1,5;2,5;3,5;5;1
0,7;1;1320;1360;300;80;22;1,5;2,5;3,5;5;0
0,7;1;1360;1400;295;85;22;1,5;2,5;3,5;5;0
0,7;1;1400;1460;295;85;22;1,5;2,5;3,5;5;1,5
