0:231472:3,074:21,818:195:1157,06370713976:0,0520000010728836:0,0504113048914625
1:231470:2,398:14,872:203:702,441324869792:0,0560000017285347:0,043382373118245
2:231468:3,096:17,92:205:861,247016059028:0,0570000000298023:0,0469615997387529
3:231466:3,022:15,084:211:758,22108968099:0,0659999996423721:0,0445374814491574
4:231465:2,218:14,252:206:878,70012749566:0,0560000017285347:0,0430659778907112
5:231477:3,532:16,748:217:1203,30811903212:0,0489999987185001:0,0480739679509854
6:231479:3,638:21,844:217:1143,20029025608:0,063000001013279:0,053602517535708
7:231480:3,564:20,24:218:1201,39255099826:0,0439999997615814:0,0511532710057714
8:231481:13,94:22,9:215:1190,06658257378:0,0590000003576279:0,0669749880753268
9:231482:9,69:26,936:196:1199,61934407552:0,0759999975562096:0,0624874720868568
10:231483:2,804:20,454:201:1164,71797688802:0,0520000010728836:0,0508718546634638
11:231484:3,562:20,208:199:1153,35167100694:0,0520000010728836:0,0519791452366644
12:231485:16,538:24,308:200:1209,21812608507:0,0659999996423721:0,0709844575765196
13:231486:11,554:17,898:203:1121,48582628038:0,0489999987185001:0,0597290767600267
14:231487:11,71:25,212:196:1208,18576388889:0,0489999987185001:0,0642973256825123
15:231491:1,388:7,562:223:1148,236328125:0,0839999988675117:0,0364147344877798
16:231496:1,248:7,012:210:683,810519748264:0,0329999998211861:0,0567280752482635
17:231498:5,37:21,526:212:1119,28141276042:0,0610000006854534:0,0569882612567706
18:231500:2,312:14,178:202:1213,4924858941:0,0419999994337559:0,0458444036528148
19:231503:1,6:13,19:195:1208,81123860677:0,034000001847744:0,0423968648626011
20:231505:1,708:15,228:205:1199,05504014757:0,0329999998211861:0,0461174673688314
21:231508:1,352:9,388:209:1210,51604546441:0,0320000015199184:0,0425049929142295
22:231509:8,304:24,848:216:1186,94165039063:0,0410000011324883:0,0620841857439306
23:231510:3,968:22,548:200:1216,37900119358:0,0410000011324883:0,0489033463586271
24:231535:0,932:18,064:208:1188,84669325087:0,034000001847744:0,0458308093127578
25:231533:0,598:11,122:205:1156,52023654514:0,0320000015199184:0,0421051192315653
26:231532:1,768:13,704:192:1181,50792100694:0,0439999997615814:0,0401683575171914
27:231531:4,948:17,754:199:1200,90802680122:0,0439999997615814:0,0476895128713725
28:231529:3,018:21,898:219:1001,17631022135:0,0570000000298023:0,0570420617326813
29:231536:1,342:15,582:217:1189,42051866319:0,0329999998211861:0,0473847024725494
30:231537:1,294:15,512:216:1198,9694281684:0,0410000011324883:0,0461756245125412
31:231538:1,798:21,912:205:1196,73586697049:0,0430000014603138:0,0476821971783603
32:231539:1,02:21,21:211:1208,66851128472:0,0359999984502792:0,047194247107672
33:231540:1,954:19,752:208:1195,32115342882:0,063000001013279:0,0466827143956175
34:231541:11,39:25,146:215:1203,34331597222:0,0359999984502792:0,063903752652081
35:231543:1,4975:20,6125:206:1059,39831542969:0,0500000007450581:0,0498663985782723
36:231544:1,996:20,714:207:1203,50911458333:0,0370000004768372:0,0470938302665201
37:231545:1,038:21,926:220:1198,97572157118:0,0540000014007092:0,047802976598257
38:231548:1,168:6,632:215:1195,85084364149:0,0350000001490116:0,0404257468581432
39:231549:8,414:25,516:218:1201,76898871528:0,0549999997019768:0,0594286539611051
40:231550:2,668:20,08:202:1210,42926703559:0,0670000016689301:0,0457797693684153
41:231551:1,5:13,636:202:1190,16421169705:0,0480000004172325:0,0421616814760919
42:231552:5,14666666666667:20,7133333333333:212:1200,09110514323:0,0529999993741512:0,0518059731694183
43:231553:2,936:18,002:216:1192,04149034288:0,0500000007450581:0,0483998025138682
44:231555:3,24833333333333:20,9683333333333:229:1196,83352322049:0,0469999983906746:0,052236389686402
45:231556:1,134:9,014:205:1189,84358723958:0,0379999987781048:0,0401084247941362
46:231558:2,842:17,852:222:1000,9313422309:0,046000000089407:0,0520831485624491
47:231560:3,488:17,42:210:955,537204318576:0,0560000017285347:0,052440344846434
48:231559:8,058:29,268:210:876,377516004774:0,0659999996423721:0,0652073041794269
49:231562:5,935:19,8883333333333:208:1205,17504882813:0,0599999986588955:0,0497371956327739
50:231563:3,514:27,458:203:785,981092664931:0,0439999997615814:0,0631975828281829
51:231564:2,518:22,134:196:1196,06195746528:0,0439999997615814:0,0483069338401909
52:231565:2,432:20,386:190:1194,21053059896:0,046000000089407:0,0466561450319666
53:231567:1,546:16,044:208:828,55908203125:0,0430000014603138:0,0515802915897025
54:231568:1,374:17,982:204:774,391940646701:0,046000000089407:0,05215896421882
55:231569:0:8,52:208:684,434705946181:0,0399999991059303:0,0476571885157891
56:231573:6,966:24,692:201:1201,67333984375:0,0480000004172325:0,0525151099648949
57:231572:5,856:23,262:214:1197,08459472656:0,0379999987781048:0,0526318718065902
58:231571:3,876:25,062:207:1195,6279296875:0,0379999987781048:0,0508231770301338
59:231570:1,864:18,104:206:974,948065863715:0,0540000014007092:0,0483843724671256
