0:231868:2,412:17,522:221:1145,21983506944:0,0370000004768372:0,0520644352186153
1:231869:4,026:16,758:203:1183,63077799479:0,0399999991059303:0,050192384610938
2:231870:12,468:22,074:202:1214,29252115885:0,0590000003576279:0,0598191225528
3:231871:6,782:22,04:208:1199,18340386285:0,0560000017285347:0,057584405157583
4:231878:8,588:20,506:201:1208,10399034288:0,0450000017881393:0,0563956983454818
5:231876:16,06:23,916:218:1194,74088541667:0,061999998986721:0,064292496851646
6:231874:6,716:20,826:218:1201,61374240451:0,0520000010728836:0,0560576543264729
7:231873:14,286:22,844:203:1193,67995876736:0,0689999982714653:0,0620860130226393
8:231872:12,128:25,034:216:1202,99755859375:0,0640000030398369:0,0637170556405907
9:231879:6,622:21,124:204:1202,19776746962:0,0419999994337559:0,0563023081483616
10:231880:13,636:21,744:216:1196,30301920573:0,0689999982714653:0,0601390971192793
11:231881:2,07:10,67:207:820,054111056858:0,034000001847744:0,0461327900152452
12:231883:14,608:21,116:216:1210,84224446615:0,046000000089407:0,0602866592112684
13:231884:10,922:25,13:206:748,433770073785:0,0879999995231628:0,0637445282474655
14:231885:3,616:16,698:185:744,521538628472:0,0610000006854534:0,0545975071196094
15:231887:6,748:24,03:203:969,987928602431:0,0560000017285347:0,0606222408354383
16:231888:3,75:14,638:197:1204,50889756944:0,0509999990463257:0,0449515786939493
17:231889:1,682:5,81:192:755,232238769531:0,0320000015199184:0,0419864529481108
18:231890:3,784:18,698:221:807,206882052951:0,0610000006854534:0,0553009665165984
19:231891:1,59:8,798:201:774,030544704861:0,0350000001490116:0,044164016120231
20:231892:9,158:11,91:215:1200,77091471354:0,0579999983310699:0,0453294140696778
21:231894:0,566:13,374:214:751,200534396701:0,0560000017285347:0,0491461056418604
22:231895:0,408:7,566:226:778,9931640625:0,034000001847744:0,0447823210076892
23:231900:5,208:26,836:216:1197,60279676649:0,0549999997019768:0,0576160074480049
24:231899:0,956:20,542:221:772,387037489149:0,0710000023245811:0,0545991276558663
25:231905:2,14:23,698:203:1205,49475097656:0,0430000014603138:0,0520758265392595
26:231906:3,916:23,784:203:1197,99959309896:0,0370000004768372:0,0527124076587691
27:231907:1,46833333333333:23,0216666666667:203:1200,74959309896:0,0480000004172325:0,0484896757633392
28:231909:0,568:20,362:197:1039,16845703125:0,0410000011324883:0,0480165758985465
29:231912:0,684:16,368:204:1272,50698513455:0,0370000004768372:0,0405364621809437
30:231913:5,648:26,462:202:1256,99606662326:0,0500000007450581:0,0534874442776245
31:231914:4,328:25,076:204:1230,10111490885:0,0500000007450581:0,0514214680622189
32:231915:2,882:22,226:194:1218,02350531684:0,0359999984502792:0,0461029000834921
33:231916:2,238:21,436:202:1204,79001193576:0,034000001847744:0,0451191379219268
34:231919:5,796:26,614:207:1205,5286187066:0,0500000007450581:0,0530161541584887
35:231920:1,256:19,79:216:1235,93583170573:0,0390000008046627:0,043378687539161
36:231921:1,076:15,836:221:777,138041178385:0,0410000011324883:0,0519890494107115
37:231922:0,728:7,916:203:778,554836697049:0,0390000008046627:0,0410794950666088
38:231923:0,928:5,514:203:756,857401529948:0,0309999994933605:0,0400449551565708
39:231924:0,81:17,272:208:813,919806586372:0,0480000004172325:0,0472247866842929
40:231925:1,086:16,24:214:764,266493055556:0,0520000010728836:0,0496476957574633
41:231927:0,874:15,576:202:773,547003851997:0,0509999990463257:0,0456629251549301
42:231928:1,288:20,868:202:820,163764105903:0,0520000010728836:0,050174260879657
43:231929:0,138:19,672:192:782,190741644965:0,0590000003576279:0,0460651662743351
44:231930:0:9,256:195:777,922892252604:0,0419999994337559:0,0389598124226405
45:231931:0,958:10,014:198:873,857516818576:0,0419999994337559:0,0390489106262953
46:231933:0,558:6,782:224:1241,13208007813:0,0529999993741512:0,0311849256715448
47:231934:0,876:12,818:201:998,131408691406:0,0439999997615814:0,0392366226679316
48:231935:1,468:20,904:203:1076,35093180339:0,0469999983906746:0,0451053057762996
49:231936:0,5:15,062:204:1208,49697536892:0,0359999984502792:0,0365482517581619
50:231937:0,72:18,462:205:1122,70593261719:0,0410000011324883:0,0413254289839267
51:231938:0,624:9,654:202:898,578993055556:0,0500000007450581:0,0397656157324511
52:231939:0,996:15,066:202:837,907185872396:0,0450000017881393:0,0467520399897113
53:231940:0,754:15,588:204:1203,52696397569:0,0399999991059303:0,0368432586602853
54:231942:0,692:14,564:200:972,249464246962:0,0350000001490116:0,0418027126405244
55:231943:0,664:13,228:210:835,282925075955:0,0549999997019768:0,0465101621582525
56:231944:0,838:24,856:193:959,182488335503:0,0430000014603138:0,0485319732128832
57:231950:1,888:21,904:211:1187,83426920573:0,0520000010728836:0,0452069495702287
58:231947:5,296:29,228:206:930,121792263455:0,0540000014007092:0,0615181714648934
59:231945:0,87:19,466:195:1200,88978407118:0,0500000007450581:0,0379630350114999
