MaterialName;CaO;MgO;SiO2;Fe2O3;Al2O3;S;PMPP;C;CO2;P;Al;H;O;N
DOLOMS;31,94;18,25;2,6;0,33;0,26;0,0342;44,58;0;0;0;0;0;0;0
DOLMIT;58,47;35,26;4,43;0;0;0,025;0,994;0,155;0,57;0;0;0;0;0
FOM;8;70;5;6;0;0,06;2;0;0;0,06;0;0;0;0
COKE;0;0;0;0;0;0,6;0;96;0;0,05;0;0,7;1,7;1,3
LIME;92;3;1,8;0;0;0,06;5;0;0;0;0;0;0;0
ALCONZ;0;0;0;0;16,76;0;0;0;0;0;14,41;0;0;0
MAXG;1,51;40;5,42;1,45;0,34;0;0;0;0;0;0;0;0;0
