2300316;134;3695;0,049;0;True
2300320;57;1580;0,063;0;True
2300322;88;2238;0,056;0;True
2300323;116;3072;0,058;0;True
2300324;103;2425;0,043;0;True
2300325;88;1909;0,039;0;True
2300326;108;2730;0,056;0;True
2300328;91;2017;0,044;0;True
2300329;122;3100;0,045;0;True
2300331;55;1423;0,06;0;True
2300332;88;1817;0,04;0;True
2300342;96;1926;0,047;0;True
2300343;110;2382;0,038;0;True
2300345;67;1642;0,059;0;True
2300346;62;1362;0,052;0;True
2300347;68;1665;0,062;0;True
2300349;86;2028;0,046;0;True
2300350;78;1847;0,046;0;True
2300352;73;1685;0,045;0;True
2300353;97;2368;0,045;0;True
2300358;44;1272;0,068;0;True
2300359;55;1484;0,058;0;True
2300361;18;474;0,086;0;True
