CMin;CMax;OxygenOnHeating;Heating
0,15;0,3;1000;15
0,1;0,15;1000;20
0,08;0,1;1000;24
0,07;0,08;300;5
0,06;0,07;400;10
0,05;0,06;500;15
0,04;0,05;1000;30
0,03;0,04;1000;40
0,02;0,03;1000;50
0,01;0,02;1000;60
