MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,15;0,29;1290;1320;310;70;18;1,5;2,5;3,5;5;0
0,15;0,29;1320;1340;307;73;18;1,5;2,5;3,5;5;0
0,15;0,29;1340;1360;305;75;18;1,5;2,5;3,5;5;0
0,15;0,29;1360;1380;303;77;18;1,5;2,5;3,5;5;0
0,15;0,29;1380;1400;300;80;18;1,5;2,5;3,5;5;0
0,15;0,29;1400;1420;297;83;18;1,5;2,5;3,5;5;0
0,15;0,29;1420;1440;295;85;18;1,5;2,5;3,5;5;0
0,15;0,29;1440;1460;292;88;18;1,5;2,5;3,5;5;0
0,3;0,39;1290;1320;307;73;18;1,5;2,5;3,5;5;0
0,3;0,39;1320;1340;305;75;18;1,5;2,5;3,5;5;0
0,3;0,39;1340;1360;303;77;18;1,5;2,5;3,5;5;0
0,3;0,39;1360;1380;300;80;18;1,5;2,5;3,5;5;0
0,3;0,39;1380;1400;297;83;18;1,5;2,5;3,5;5;0
0,3;0,39;1400;1420;295;85;18;1,5;2,5;3,5;5;0
0,3;0,39;1420;1440;292;88;18;1,5;2,5;3,5;5;0
0,3;0,39;1440;1460;290;90;18;1,5;2,5;3,5;5;0
0,4;0,49;1290;1320;305;75;18,8;1,5;2,5;3,5;5;0
0,4;0,49;1320;1340;303;77;18,5;1,5;2,5;3,5;5;0
0,4;0,49;1340;1360;300;80;18,5;1,5;2,5;3,5;5;0
0,4;0,49;1360;1380;297;83;18,5;1,5;2,5;3,5;5;0
0,4;0,49;1380;1400;295;85;18,5;1,5;2,5;3,5;5;0
0,4;0,49;1400;1420;292;88;18,5;1,5;2,5;3,5;5;0
0,4;0,49;1420;1440;290;90;18,5;1,5;2,5;3,5;5;0
0,4;0,49;1440;1460;287;93;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1290;1320;300;80;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1320;1340;297;83;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1340;1360;295;85;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1360;1380;292;88;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1380;1400;290;90;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1400;1420;287;93;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1420;1440;285;95;18,5;1,5;2,5;3,5;5;0
0,5;0,59;1440;1460;282;98;18,5;1,5;2,5;3,5;5;0
0,6;0,69;1290;1320;295;85;19;1,5;2,5;3,5;5;0
0,6;0,69;1320;1340;292;88;19;1,5;2,5;3,5;5;0
0,6;0,69;1340;1360;290;90;19;1,5;2,5;3,5;5;0
0,6;0,69;1360;1380;287;93;19;1,5;2,5;3,5;5;0
0,6;0,69;1380;1400;285;95;19;1,5;2,5;3,5;5;0
0,6;0,69;1400;1420;282;98;19;1,5;2,5;3,5;5;0
0,6;0,69;1420;1440;280;100;19;1,5;2,5;3,5;5;0
0,6;0,69;1440;1460;278;103;19;1,5;2,5;3,5;5;0
0,7;0,79;1290;1320;292;88;22;1,5;2,5;3,5;5;0
0,7;0,79;1320;1340;289;91;22;1,5;2,5;3,5;5;0
0,7;0,79;1340;1360;286;94;22;1,5;2,5;3,5;5;0
0,7;0,79;1360;1380;282;98;22;1,5;2,5;3,5;5;0
0,7;0,79;1380;1400;278;102;22;1,5;2,5;3,5;5;0
0,7;0,79;1400;1420;275;105;22;1,5;2,5;3,5;5;0
0,7;0,79;1420;1440;272;108;22;1,5;2,5;3,5;5;0
0,7;0,79;1440;1460;270;111;22;1,5;2,5;3,5;5;0
0,8;0,89;1290;1320;280;100;22,5;1,5;2,5;3,5;5;0
0,8;0,89;1320;1340;278;103;22,5;1,5;2,5;3,5;5;0
0,8;0,89;1340;1360;275;106;22,5;1,5;2,5;3,5;5;0
0,8;0,89;1360;1380;275;109;22,5;1,5;2,5;3,5;5;0
0,8;0,89;1380;1400;275;111;22,5;1,5;2,5;3,5;5;0
0,8;0,89;1400;1420;275;112;22,5;1,5;2,5;3,5;5;0
0,8;0,89;1420;1440;275;113;22,5;1,5;2,5;3,5;5;0
0,8;0,89;1440;1460;275;114;22,5;1,5;2,5;3,5;5;0
0,9;0,99;1290;1320;280;100;22,5;1,5;2,5;3,5;5;0
0,9;0,99;1320;1340;278;103;22,5;1,5;2,5;3,5;5;0
0,9;0,99;1340;1360;275;106;22,5;1,5;2,5;3,5;5;0
0,9;0,99;1360;1380;275;109;22,5;1,5;2,5;3,5;5;0
0,9;0,99;1380;1400;275;111;22,5;1,5;2,5;3,5;5;1
0,9;0,99;1400;1420;275;112;22,5;1,5;2,5;3,5;5;2
0,9;0,99;1420;1440;275;113;22,5;1,5;2,5;3,5;5;3
0,9;0,99;1440;1460;275;114;22,5;1,5;2,5;3,5;5;4
1;1,1;1290;1320;275;104;23;1,5;2,5;3,5;5;0
1;1,1;1320;1340;275;107;23;1,5;2,5;3,5;5;0
1;1,1;1340;1360;275;110;23;1,5;2,5;3,5;5;0
1;1,1;1360;1380;275;111;23;1,5;2,5;3,5;5;0
1;1,1;1380;1400;275;112;23;1,5;2,5;3,5;5;1
1;1,1;1400;1420;275;113;23;1,5;2,5;3,5;5;2
1;1,1;1420;1440;275;114;23;1,5;2,5;3,5;5;3
1;1,1;1440;1460;275;114;23;1,5;2,5;3,5;5;4
1,11;1,25;1290;1320;275;107;23,5;1,5;2,5;3,5;5;0
1,11;1,25;1320;1340;275;110;23,5;1,5;2,5;3,5;5;0
1,11;1,25;1340;1360;275;113;23,5;1,5;2,5;3,5;5;0
1,11;1,25;1360;1380;275;114;23,5;1,5;2,5;3,5;5;1,5
1,11;1,25;1380;1400;275;114;23,5;1,5;2,5;3,5;5;2,5
1,11;1,25;1400;1420;275;114;23,5;1,5;2,5;3,5;5;3,5
1,11;1,25;1420;1440;275;114;23,5;1,5;2,5;3,5;5;4,5
1,11;1,25;1440;1460;275;114;23,5;1,5;2,5;3,5;5;5,5
