MinSiHotIron;MaxSiHotIron;MinTHotIron;MaxTHotIron;MassHotIron;MassScrap;MassLime;MassDolom;UVSMassDolom;MassFOM;UVSMassFOM;MassDolomS
0,15;0,29;1290;1320;325;55;18;1,5;2,5;3,5;5;0
0,15;0,29;1320;1340;323;57;18;1,5;2,5;3,5;5;0
0,15;0,29;1340;1360;320;60;18;1,5;2,5;3,5;5;0
0,15;0,29;1360;1380;317;63;18;1,5;2,5;3,5;5;0
0,15;0,29;1380;1400;315;65;18;1,5;2,5;3,5;5;0
0,15;0,29;1400;1420;313;67;18;1,5;2,5;3,5;5;0
0,15;0,29;1420;1440;310;70;18;1,5;2,5;3,5;5;0
0,15;0,29;1440;1460;305;75;18;1,5;2,5;3,5;5;0
0,3;0,39;1290;1320;320;60;19;1,5;2,5;3,5;5;0
0,3;0,39;1320;1340;317;63;19;1,5;2,5;3,5;5;0
0,3;0,39;1340;1360;314;66;19;1,5;2,5;3,5;5;0
0,3;0,39;1360;1380;310;70;19;1,5;2,5;3,5;5;0
0,3;0,39;1380;1400;307;73;19;1,5;2,5;3,5;5;0
0,3;0,39;1400;1420;305;75;19;1,5;2,5;3,5;5;0
0,3;0,39;1420;1440;303;77;19;1,5;2,5;3,5;5;0
0,3;0,39;1440;1460;300;80;19;1,5;2,5;3,5;5;0
0,4;0,49;1290;1320;317;63;20;1,5;2,5;3,5;5;0
0,4;0,49;1320;1340;315;65;20;1,5;2,5;3,5;5;0
0,4;0,49;1340;1360;313;67;20;1,5;2,5;3,5;5;0
0,4;0,49;1360;1380;310;70;20;1,5;2,5;3,5;5;0
0,4;0,49;1380;1400;307;73;20;1,5;2,5;3,5;5;0
0,4;0,49;1400;1420;305;75;20;1,5;2,5;3,5;5;0
0,4;0,49;1420;1440;303;77;20;1,5;2,5;3,5;5;0
0,4;0,49;1440;1460;300;80;20;1,5;2,5;3,5;5;0
0,5;0,59;1290;1320;315;65;21;1,5;2,5;3,5;5;0
0,5;0,59;1320;1340;312;68;21;1,5;2,5;3,5;5;0
0,5;0,59;1340;1360;310;70;21;1,5;2,5;3,5;5;0
